7417d0c5eecfc30e1e0812f39d5a3962c3e58d6907a03af8508e21d3d9eb8987,Index,Spent?,Remixed?,Remix-wtxid,Remix-index,Date,Merge-mix?,n-merged,Type-Merged,Add-Reuse?,n-RU,Merged?,n-merged,oldest-m,newest-m,dust?,n-dust,change?,n-change,n-out,addr-type,re-use?,n-ru,Comments
bc1qz2ajfcmw0ew5heycnd92vxw6mv37jpcajmtn8v 0.09988131 $354.33,30,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
bc1qw5zu0vj6htaqpwmq36l5e0qfu3w7m9ay6sl886 0.09988131 $354.33,31,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
bc1q07athvsx0jxu5jyd00snygmkkml89fzfesz9dj 0.09988131 $354.33,32,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
bc1qsmnn8q06asj6wyx5f67sh76a6yu6c8guhztxeq 0.09988131 $354.33,33,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
bc1qvr7aemwclj2f34fygqzyx797z0ccemkkmsa98l 0.09988131 $354.33,34,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
bc1qjm7cevgj7zurhq45dpcm4g0fn7qje5v8qklzr8 0.09988131 $354.33,35,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
bc1q5k0kqrsk777mle2mkcafhvu4h5lv7nhgl4y323 0.09988131 $354.33,36,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
bc1qp5njqymdf7697d972rr6lzcyxznaa97ngppgfq 0.09988131 $354.33,37,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
bc1qm2wfma97c8m0sp0mhwz675rddzl2gffkltkyv3 0.09988131 $354.33,38,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
bc1qqwsxz9uy07u9m8gfd0ur0483t5qasnrm4yna9z 0.09988131 $354.33,39,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
bc1qgm56avjm42x345apz40p59hl6pxl7c9zme5uuk 0.09988131 $354.33,40,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,
